year,id,regional_unit,pre_county_id,post_county_id,reform_type,population,pre_name,post_name
1950,06/1950/0002,Gemeinde,06243,06238,2,350,"Hessisch Lichtenau, Stadt",Eschenstruth
1950,09/1950/0003,Gemeinde,09531,09511,2,237,Bernhardswinden,"Ansbach, Stadt"
1950,09/1950/0003,Gemeinde,09531,09511,2,484,"Ansbach, gemfr. Geb.","Ansbach, Stadt"
1950,09/1950/0004,Gemeinde,09534,09513,2,679,"Erlangen, gemfr. Geb.","Erlangen, Stadt"
1951,01/1951/0018,Gemeinde,01139,01144,2,98,"Rantzau, gemfr. Bezirk",Heidmoor
1951,03/1951/0009,Gemeinde,03634,03631,1,207,"Friedeburger Wiesmoor, nördl. Teil, gemfr. Gebiet",Wiesmoor
1951,03/1951/0009,Gemeinde,03634,03631,1,564,Mullberg,Wiesmoor
1951,03/1951/0009,Gemeinde,03634,03631,3,1636,Wiesmoor,Wiesmoor
1951,03/1951/0009,Gemeinde,03634,03631,2,8,"Bentstreek, gemfr. Gebiet",Wiesmoor
1951,03/1951/0023,Gemeinde,03833,03813,2,19,Sengwarden,"Wilhelmshaven, Stadt"
1951,09/1951/0010,Gemeinde,09140,09152,2,23,Unterpfaffenhofen,Argelsried
1951,09/1951/0026,Gemeinde,09711,09731,2,6,"Augsburg, Stadt",Stadtbergen
1951,09/1951/0052,Gemeinde,09149,09133,2,48,Pang,"Kolbermoor, Markt"
1952,05/1952/0006,Gemeinde,05335,05435,2,33,"Monschau, Stadt",Mützenich
1952,05/1952/0006,Gemeinde,05435,05335,2,22,Mützenich,"Monschau, Stadt"
1952,07/1952/0021,Gemeinde,07532,07539,2,4,Lambsheim,Birkenheide
1952,17/1952/0004,Gemeinde,17238,17236,2,16,"Wimpfen, Bad, Stadt",Hochhausen
1952,08/1952/0007,Gemeinde,08439,08447,2,395,Vogt,Karsee
1952,09/1952/0015,Gemeinde,09534,09515,2,1035,"Erlangen, gemfr. Geb.","Nürnberg, Stadt"
1952,09/1952/0015,Gemeinde,09542,09515,2,849,"Nürnberg, gemfr. Geb.","Nürnberg, Stadt"
1952,09/1952/0015,Gemeinde,09545,09515,2,374,"Schwabach, gemfr. Geb.","Nürnberg, Stadt"
1952,09/1952/0019,Gemeinde,09431,09411,2,6,"Bamberg, gemfr. Geb.","Bamberg, Stadt"
1952,09/1952/0026,Gemeinde,09156,09152,2,230,Schäftlarn,Wangen
1952,09/1952/0031,Gemeinde,09811,09831,2,40,"Lindau (Bodensee), Stadt",Weißensberg
1952,09/1952/0042,Gemeinde,09115,09140,2,1142,"München, Stadt",Gröbenzell
1953,05/1953/0005,Gemeinde,05742,05532,2,6,Nordrheda-Ems,"Oelde, Kirchspiel"
1954,03/1954/0011,Gemeinde,03634,03632,1,16,"Bentstreek, gemfr. Gebiet",Oltmannsfehn
1954,05/1954/0004,Gemeinde,05835,05832,2,3,Lendringsen,Asbeck
1954,06/1954/0005,Gemeinde,06112,06138,2,3,"Gießen, Stadt",Heuchelheim
1955,03/1955/0002,Gemeinde,03138,03133,1,730,Beeke,"Obernkirchen, Stadt"
1955,03/1955/0002,Gemeinde,03138,03133,1,411,Rösehöfe,"Obernkirchen, Stadt"
1955,05/1955/0007,Gemeinde,05432,05435,2,2,Hürtgen,Vossenack
1955,06/1955/0001,Gemeinde,06113,06141,2,11,"Offenbach am Main, Stadt",Heusenstamm
1956,03/1956/0001,Gemeinde,03831,03834,2,22,Edewecht,Wardenburg
1956,03/1956/0001,Gemeinde,03832,03834,2,3,Bösel,Wardenburg
1956,05/1956/0011,Gemeinde,05835,05817,1,1100,Oestrich,"Iserlohn, Stadt"
1956,05/1956/0017,Gemeinde,05536,05515,2,592,Sankt Mauritz,"Münster (Westf.), Stadt"
1956,06/1956/0001,Gemeinde,06313,06341,2,11,"Wiesbaden, Landeshauptstadt",Schlangenbad
1956,07/1956/0002,Gemeinde,07532,07531,1,1278,Großbockenheim,Bockenheim an der Weinstraße
1956,07/1956/0002,Gemeinde,07532,07531,1,883,Kleinbockenheim,Bockenheim an der Weinstraße
1956,07/1956/0004,Gemeinde,07540,07516,2,964,Lemberg,"Pirmasens, Stadt"
1956,08/1956/0003,Gemeinde,08441,08348,2,35,Lauterbach,Lehengericht
1956,09/1956/0004,Gemeinde,09545,09517,2,1068,Penzendorf,"Schwabach, Stadt"
1956,09/1956/0014,Gemeinde,09431,09411,2,35,"Bamberg, gemfr. Geb.","Bamberg, Stadt"
1957,03/1957/0006,Gemeinde,03241,03239,2,4,"Harz, Anteil Kreis Zellerfeld, Forst, gemfr. Gebiet","Herzberg am Harz, Stadt"
1957,03/1957/0019,Gemeinde,03632,03531,2,23,Völlen,"Papenburg, Stadt"
1957,06/1957/0008,Gemeinde,06233,06235,2,5,Saasen,Aua
1957,07/1957/0001,Gemeinde,07332,07333,2,21,"Oberlahnstein, Stadt","Bad Ems, Stadt"
1957,07/1957/0003,Gemeinde,07433,07411,2,361,Hechtsheim,"Mainz, Stadt"
1957,09/1957/0001,Gemeinde,09147,09115,2,15,"München, gemfr. Geb.","München, Stadt"
1957,09/1957/0008,Gemeinde,09139,09138,2,4,Hallbergmoos,Notzing
1957,09/1957/0017,Gemeinde,09513,09534,2,13,"Erlangen, Stadt",Bubenreuth
1958,01/1958/0002,Gemeinde,01142,01112,1,1633,Suchsdorf,"Kiel, Stadt"
1958,03/1958/0011,Gemeinde,03241,03239,2,47,"Harz, Anteil Kreis Zellerfeld, Forst, gemfr. Gebiet","Osterode am Harz, Stadt"
1958,05/1958/0004,Gemeinde,05136,05138,2,78,Grieth,Grietherort
1958,06/1958/0002,Gemeinde,06111,06134,2,63,"Darmstadt, Stadt",Wixhausen
1958,07/1958/0003,Gemeinde,07516,07540,2,26,"Pirmasens, Stadt",Simten
1958,08/1958/0003,Gemeinde,08234,08212,2,45,Neureut (Baden),"Karlsruhe, Stadt"
1958,09/1958/0001,Gemeinde,09147,09115,2,7,"München, gemfr. Geb.","München, Stadt"
1958,09/1958/0004,Gemeinde,09116,09133,2,31,"Rosenheim, Stadt","Kolbermoor, Markt"
1958,09/1958/0005,Gemeinde,09243,09213,2,3,Heining,"Passau, Stadt"
1958,09/1958/0020,Gemeinde,09136,09148,2,56,Ainhofen,Jetzendorf
1958,09/1958/0020,Gemeinde,09148,09136,2,50,Jetzendorf,Petershausen
1958,09/1958/0022,Gemeinde,09444,09419,2,11,"Rehau, gemfr. Geb.","Selb, Stadt"
1958,09/1958/0023,Gemeinde,09534,09540,2,8,"Erlangen, gemfr. Geb.",Rückersdorf
1959,01/1959/0001,Gemeinde,01131,01112,1,1220,Schilksee,"Kiel, Stadt"
1959,03/1959/0010,Gemeinde,03732,03711,2,1001,"Querum, Forst, gemfr. Gebiet","Braunschweig, Stadt"
1959,03/1959/0015,Gemeinde,03733,03241,2,40,Windhausen,"Grund (Harz), Bad, Bergstadt"
1959,05/1959/0001,Gemeinde,05335,05838,2,7,Lieberhausen,"Drolshagen, Land"
1959,05/1959/0003,Gemeinde,05333,05436,2,168,Kommern,Mechernich
1959,05/1959/0003,Gemeinde,05436,05333,2,3,Mechernich,Kommern
1959,05/1959/0007,Gemeinde,05835,05831,2,13,Kesbern,"Altena, Stadt"
1960,03/1960/0001,Gemeinde,03234,03211,2,4,Grone,"Göttingen, Stadt"
1960,03/1960/0015,Gemeinde,03732,03334,2,8,Neubrück,Groß Schwülper
1960,07/1960/0005,Gemeinde,07135,07111,2,30,Kesselheim,"Koblenz, Stadt"
1960,07/1960/0007,Gemeinde,07131,07137,1,43,"Ahrbrück, Gutsbezirk, gemfr. Bezirk",Hohenleimbach
1960,09/1960/0005,Gemeinde,09437,09415,2,175,Leimitz,"Hof, Stadt"
1960,09/1960/0006,Gemeinde,09531,09511,2,49,Neuses b. Ansbach,"Ansbach, Stadt"
1960,09/1960/0009,Gemeinde,09731,09711,2,7,"Haunstetten, Stadt","Augsburg, Stadt"
1960,09/1960/0013,Gemeinde,09533,09512,2,6,Preith,"Eichstätt, Stadt"
1960,09/1960/0019,Gemeinde,09431,09411,2,42,"Bamberg, gemfr. Geb.","Bamberg, Stadt"
1960,09/1960/0020,Gemeinde,09545,09517,2,1095,Unterreichenbach,"Schwabach, Stadt"
1960,09/1960/0028,Gemeinde,09534,09513,2,15,Eltersdorf,"Erlangen, Stadt"
1960,48/1960/0001,Gemeinde,48134,48111,2,246,Scheidt,"Saarbrücken, Stadt"
1961,03/1961/0008,Gemeinde,03611,03633,2,9,"Emden, Stadt",Wybelsum
1961,03/1961/0014,Gemeinde,03332,03311,1,208,Vorwerk,"Celle, Stadt"
1961,03/1961/0015,Gemeinde,03235,03212,2,20,Itzum,"Hildesheim, Stadt               "
